w434	w445	w465	w472	w490	w504	w537	w555	w584	w600	w610	w628	w651	w674
0	.86	.42	.42	.18	.06	.07	.04	.02	.07	.09	.12	.13	.16
.86	0	.5	.44	.22	.09	.07	.07	.02	.04	.07	.11	.13	.14
.42	.5	0	.81	.47	.17	.1	.08	.02	.01	.02	.01	.05	.03
.42	.44	.81	0	.54	.25	.1	.09	.02	.01	0	.01	.02	.04
.18	.22	.47	.54	0	.61	.31	.26	.07	.02	.02	.01	.02	0
.06	.09	.17	.25	.61	0	.62	.45	.14	.08	.02	.02	.02	.01
.07	.07	.1	.1	.31	.62	0	.73	.22	.14	.05	.02	.02	0
.04	.07	.08	.09	.26	.45	.73	0	.33	.19	.04	.03	.02	.02
.02	.02	.02	.02	.07	.14	.22	.33	0	.58	.37	.27	.2	.23
.07	.04	.01	.01	.02	.08	.14	.19	.58	0	.74	.5	.41	.28
.09	.07	.02	0	.02	.02	.05	.04	.37	.74	0	.76	.62	.55
.12	.11	.01	.01	.01	.02	.02	.03	.27	.5	.76	0	.85	.68
.13	.13	.05	.02	.02	.02	.02	.02	.2	.41	.62	.85	0	.76
.16	.14	.03	.04	0	.01	0	.02	.23	.28	.55	.68	.76	0
