% This is an artificial data set described in Breiman et al. (1984,p.238) 
% (with variance 1 instead of 2).  
% 
% Generate the values of the 10 attributes independently
% using the following probabilities:
%
% P(X_1 = -1) = P(X_1 = 1) = 1/2
% P(X_m = -1) = P(X_m = 0) = P(X_m = 1) = 1/3, m=2,...,10
%
% Obtain the value of the target variable Y using the rule:
%
% if X_1 = 1 set Y = 3 + 3X_2 + 2X_3 + X_4 + sigma(0,1)
% if X_1 = -1 set Y = -3 + 3X_5 + 2X_6 + X_7 + sigma(0,1)
%
% Characteristics: 40768 cases, 11 continuous attributes
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: Breiman et al. (1984, p.238).

@relation 2dplanes
@attribute  x1  real
@attribute  x2  real
@attribute  x3  real
@attribute  x4  real
@attribute  x5  real
@attribute  x6  real
@attribute  x7  real
@attribute  x8  real
@attribute  x9  real
@attribute  x10  real
@attribute  y  real

@data

1,1,1,1,-1,0,1,0,-1,1,7.73906
-1,0,-1,-1,1,1,1,0,-1,0,3.95676
1,0,1,1,-1,-1,0,1,1,1,4.71592
1,0,0,1,0,-1,1,1,1,-1,5.02863
-1,0,-1,-1,-1,-1,-1,1,1,-1,-11.5748
1,1,1,-1,-1,-1,-1,1,-1,-1,6.87817
1,-1,0,0,-1,0,0,0,0,0,-1.94303
1,-1,0,-1,1,1,1,-1,1,0,-1.42592
-1,0,-1,-1,-1,1,0,1,-1,1,-3.65451
-1,1,-1,0,1,0,-1,0,-1,1,-1.49176
1,0,1,1,-1,1,-1,0,0,0,6.88843
-1,1,1,0,1,-1,-1,-1,1,-1,-4.06112
1,-1,0,0,1,0,0,-1,0,-1,0.180616
1,0,0,1,1,-1,0,1,1,0,3.28521
-1,0,1,-1,-1,-1,1,-1,0,1,-8.00197
1,1,-1,1,-1,0,1,0,0,0,4.75477
1,0,-1,-1,1,-1,-1,-1,-1,0,-2.08087
-1,0,0,1,1,-1,0,1,-1,-1,-1.27886
-1,-1,1,-1,-1,0,0,1,1,-1,-4.91547
-1,1,-1,0,0,-1,-1,1,-1,-1,-4.61146
-1,1,1,0,-1,-1,-1,-1,1,0,-10.802
-1,-1,-1,0,-1,-1,1,-1,0,-1,-7.47398
-1,1,0,1,-1,-1,0,-1,0,-1,-8.6021
-1,-1,1,1,-1,-1,0,1,1,0,-7.60897
1,0,-1,1,1,1,1,1,0,0,1.8357
1,1,0,1,0,0,0,1,0,0,5.92239
-1,-1,1,-1,-1,1,-1,-1,1,-1,-4.84776
-1,0,-1,-1,1,1,-1,1,0,1,-0.754753
1,-1,0,0,1,-1,1,-1,0,1,1.29452
-1,-1,0,-1,1,-1,1,0,-1,-1,-1.13159
1,-1,1,-1,-1,-1,-1,1,0,-1,0.0031154
1,0,0,-1,-1,1,1,0,1,-1,2.93411
-1,0,0,0,-1,0,0,1,-1,1,-5.81808
-1,-1,-1,1,0,1,-1,-1,0,-1,-3.1081
1,0,-1,0,-1,0,-1,1,1,0,3.4434
-1,-1,-1,1,-1,-1,-1,-1,0,1,-9.41734
1,-1,-1,1,0,-1,0,0,0,-1,-0.532668
-1,-1,-1,1,1,0,1,0,0,0,1.6012
1,1,1,1,-1,-1,1,1,0,1,9.63675
-1,1,1,1,1,-1,1,0,-1,-1,-1.7906
1,0,-1,0,-1,-1,0,-1,1,-1,1.38622
-1,0,-1,1,-1,1,1,0,1,-1,-2.86268
-1,0,1,0,0,1,1,-1,1,0,-0.49656
-1,0,0,-1,1,1,-1,1,-1,-1,0.99432
1,-1,-1,1,0,0,-1,1,0,-1,0.636984
1,-1,-1,0,-1,0,0,-1,0,0,-0.969478
-1,-1,-1,0,1,1,0,1,1,-1,2.10317
-1,1,0,-1,-1,-1,-1,-1,0,-1,-7.21319
1,1,1,1,-1,1,-1,1,0,1,9.56381
1,0,0,1,1,-1,0,-1,-1,1,4.05197
1,-1,-1,1,-1,1,1,1,0,0,-2.0286
-1,0,-1,1,1,1,-1,-1,1,-1,2.06794
-1,1,1,1,1,0,0,-1,-1,-1,-0.503928
-1,0,1,1,-1,-1,-1,-1,0,1,-8.86294
1,0,1,0,-1,1,-1,-1,-1,0,4.93876
-1,-1,1,-1,0,1,0,-1,-1,-1,-0.773404
-1,1,1,0,0,-1,0,1,0,1,-4.78388
-1,1,0,-1,1,-1,0,-1,1,-1,-0.364697
1,0,-1,1,1,1,-1,0,-1,0,3.30609
-1,0,-1,-1,1,0,0,0,1,1,-0.915745
1,1,1,-1,0,0,0,0,0,-1,5.42191
1,1,-1,-1,1,-1,0,-1,0,1,1.88932
-1,1,0,-1,0,-1,0,1,1,1,-5.27863
-1,1,0,1,1,-1,0,1,1,1,-1.65321
-1,0,1,0,-1,0,1,-1,1,1,-3.66538
1,-1,1,1,1,-1,0,1,0,0,4.12808
-1,1,-1,1,-1,1,1,1,0,-1,-1.74118
1,1,-1,1,-1,1,0,-1,-1,1,3.61766
-1,0,0,-1,0,1,0,-1,-1,1,-1.24015
-1,-1,0,1,-1,1,1,1,0,-1,-3.75631
-1,0,1,0,-1,-1,-1,1,1,1,-9.1632
-1,-1,1,-1,0,0,1,-1,1,-1,-3.20824
1,1,0,0,1,1,0,0,1,0,5.43216
-1,-1,0,1,0,0,0,-1,1,0,-3.16473
-1,0,0,1,-1,0,-1,0,0,0,-6.73085
-1,0,0,1,-1,1,1,1,0,0,-3.13232
-1,-1,-1,-1,1,0,1,0,1,-1,0.480501
-1,1,0,1,0,1,0,1,0,0,-1.51667
1,0,-1,1,1,0,0,0,0,-1,2.43513
-1,0,0,1,1,1,-1,-1,0,-1,0.784998
-1,-1,0,-1,0,1,1,0,0,1,-0.679038
1,0,-1,-1,-1,-1,0,0,0,1,0.120165
-1,-1,1,0,1,-1,0,0,1,1,-3.0573
1,-1,0,0,1,1,-1,0,1,1,0.571304
-1,1,1,1,0,1,1,1,0,0,-0.258579
-1,0,1,0,1,1,-1,1,-1,0,1.67723
-1,-1,-1,0,-1,0,0,1,-1,-1,-6.39612
-1,0,-1,-1,-1,0,1,1,1,0,-5.65484
1,0,0,1,0,1,0,1,-1,-1,5.48104
-1,-1,0,0,-1,-1,1,-1,-1,0,-6.56834
1,0,1,-1,-1,-1,-1,1,0,-1,6.37878
1,1,-1,1,1,0,-1,0,1,0,4.97714
-1,-1,0,1,1,-1,1,0,-1,1,-2.58257
1,1,0,0,0,1,-1,1,-1,-1,6.59918
-1,-1,-1,0,1,-1,1,0,1,1,-1.01358
-1,1,0,-1,0,0,0,0,-1,1,-4.3193
1,0,1,-1,1,1,-1,1,-1,1,4.93976
1,1,-1,-1,-1,0,0,1,1,-1,2.82319
1,-1,1,1,1,-1,1,0,-1,0,4.38063
1,1,1,-1,0,0,1,-1,0,0,7.70222
-1,-1,0,-1,0,0,0,1,-1,1,-3.20915
1,0,0,-1,0,0,-1,1,0,-1,3.22402
-1,0,1,1,0,0,1,0,1,0,-2.12961
-1,1,1,0,-1,-1,-1,0,-1,0,-8.57297
1,1,-1,1,-1,-1,1,-1,0,0,5.56071
-1,-1,-1,0,0,1,0,-1,1,0,-1.67572
1,-1,0,0,-1,-1,1,-1,-1,1,0.759036
-1,-1,-1,-1,0,-1,1,-1,1,-1,-4.38226
1,0,1,1,0,0,1,1,-1,0,5.91204
1,0,-1,1,0,1,-1,-1,-1,1,2.38271
1,-1,-1,0,1,-1,-1,1,1,0,-2.33283
1,0,0,1,1,1,1,1,-1,1,2.67202
1,0,0,0,-1,-1,1,-1,0,-1,3.44112
-1,0,0,-1,-1,1,0,0,0,-1,-3.20895
-1,1,-1,1,1,1,1,-1,1,0,4.06674
1,-1,1,0,0,1,0,0,1,0,2.74746
-1,-1,1,-1,0,0,-1,0,0,-1,-6.172
-1,1,0,0,1,-1,0,1,-1,0,-1.054
-1,1,0,1,1,1,-1,0,-1,1,1.15739
1,1,1,-1,0,-1,-1,1,1,1,6.86733
1,-1,1,-1,-1,0,-1,-1,-1,0,1.04862
-1,0,1,0,-1,1,0,1,0,0,-3.43711
-1,0,0,-1,0,1,1,1,-1,1,0.343962
