%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%
% Identifier attribute deleted.
%
% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction
% using instance-based learning with encoding length selection. In Progress
% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.
%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%
%
% 1. Title: Auto-Mpg Data
% 
% 2. Sources:
%    (a) Origin:  This dataset was taken from the StatLib library which is
%                 maintained at Carnegie Mellon University. The dataset was 
%                 used in the 1983 American Statistical Association Exposition.
%    (c) Date: July 7, 1993
% 
% 3. Past Usage:
%     -  See 2b (above)
%     -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
%        In Proceedings on the Tenth International Conference of Machine 
%        Learning, 236-243, University of Massachusetts, Amherst. Morgan
%        Kaufmann.
% 
% 4. Relevant Information:
% 
%    This dataset is a slightly modified version of the dataset provided in
%    the StatLib library.  In line with the use by Ross Quinlan (1993) in
%    predicting the attribute "mpg", 8 of the original instances were removed 
%    because they had unknown values for the "mpg" attribute.  The original 
%    dataset is available in the file "auto-mpg.data-original".
% 
%    "The data concerns city-cycle fuel consumption in miles per gallon,
%     to be predicted in terms of 3 multivalued discrete and 5 continuous
%     attributes." (Quinlan, 1993)
% 
% 5. Number of Instances: 398
% 
% 6. Number of Attributes: 9 including the class attribute
% 
% 7. Attribute Information:
% 
%     1. mpg:           continuous
%     2. cylinders:     multi-valued discrete
%     3. displacement:  continuous
%     4. horsepower:    continuous
%     5. weight:        continuous
%     6. acceleration:  continuous
%     7. model year:    multi-valued discrete
%     8. origin:        multi-valued discrete
%     9. car name:      string (unique for each instance)
% 
% 8. Missing Attribute Values:  horsepower has 6 missing values
% 

@relation autoMpg
@attribute cylinders { 8, 4, 6, 3, 5}
@attribute displacement real
@attribute horsepower real
@attribute weight real
@attribute acceleration real
@attribute model { 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82}
@attribute origin { 1, 3, 2}
@attribute class real
@data
8,307,130,3504,12,70,1,18
8,350,165,3693,11.5,70,1,15
8,318,150,3436,11,70,1,18
8,304,150,3433,12,70,1,16
8,302,140,3449,10.5,70,1,17
8,429,198,4341,10,70,1,15
8,454,220,4354,9,70,1,14
8,440,215,4312,8.5,70,1,14
8,455,225,4425,10,70,1,14
8,390,190,3850,8.5,70,1,15
8,383,170,3563,10,70,1,15
8,340,160,3609,8,70,1,14
8,400,150,3761,9.5,70,1,15
8,455,225,3086,10,70,1,14
4,113,95,2372,15,70,3,24
6,198,95,2833,15.5,70,1,22
6,199,97,2774,15.5,70,1,18
6,200,85,2587,16,70,1,21
4,97,88,2130,14.5,70,3,27
4,97,46,1835,20.5,70,2,26
4,110,87,2672,17.5,70,2,25
4,107,90,2430,14.5,70,2,24
4,104,95,2375,17.5,70,2,25
4,121,113,2234,12.5,70,2,26
6,199,90,2648,15,70,1,21
8,360,215,4615,14,70,1,10
8,307,200,4376,15,70,1,10
8,318,210,4382,13.5,70,1,11
8,304,193,4732,18.5,70,1,9
4,97,88,2130,14.5,71,3,27
4,140,90,2264,15.5,71,1,28
4,113,95,2228,14,71,3,25
4,98,?,2046,19,71,1,25
6,232,100,2634,13,71,1,19
6,225,105,3439,15.5,71,1,16
6,250,100,3329,15.5,71,1,17
6,250,88,3302,15.5,71,1,19
6,232,100,3288,15.5,71,1,18
8,350,165,4209,12,71,1,14
8,400,175,4464,11.5,71,1,14
8,351,153,4154,13.5,71,1,14
8,318,150,4096,13,71,1,14
8,383,180,4955,11.5,71,1,12
8,400,170,4746,12,71,1,13
8,400,175,5140,12,71,1,13
6,258,110,2962,13.5,71,1,18
4,140,72,2408,19,71,1,22
6,250,100,3282,15,71,1,19
6,250,88,3139,14.5,71,1,18
4,122,86,2220,14,71,1,23
4,116,90,2123,14,71,2,28
4,79,70,2074,19.5,71,2,30
4,88,76,2065,14.5,71,2,30
4,71,65,1773,19,71,3,31
4,72,69,1613,18,71,3,35
4,97,60,1834,19,71,2,27
4,91,70,1955,20.5,71,1,26
4,113,95,2278,15.5,72,3,24
4,97.5,80,2126,17,72,1,25
4,97,54,2254,23.5,72,2,23
4,140,90,2408,19.5,72,1,20
