% The Computer Activity databases are a collection of computer systems
% activity measures. The data was collected from a Sun Sparcstation
% 20/712 with 128 Mbytes of memory running in a multi-user university
% department. Users would typically be doing a large variety of tasks
% ranging from accessing the internet, editing files or running very
% cpu-bound programs.  The data was collected continuously on two
% separate occasions. On both occassions, system activity was gathered
% every 5 seconds. The final dataset is taken from both occasions with
% equal numbers of observations coming from each collection epoch.
% 
% System measures used:
% 1. lread - Reads (transfers per second ) between system memory and user memory.
% 2. lwrite - writes (transfers per second) between system memory and user memory.
% 3. scall - Number of system calls of all types per second.
% 4. sread - Number of system read calls per second.
% 5. swrite - Number of system write calls per second . 
% 6. fork - Number of system fork calls per second. 
% 7. exec - Number of system exec calls per second. 
% 8. rchar - Number of characters transferred per second by system read calls.
% 9. wchar - Number of characters transfreed per second by system write calls. 
% 10. pgout - Number of page out requests per second.
% 11. ppgout - Number of pages, paged out per second. 
% 12. pgfree - Number of pages per second placed on the free list. 
% 13. pgscan - Number of pages checked if they can be freed per second.
% 14. atch - Number of page attaches (satisfying a page fault by reclaiming a page in memory) per second.
% 15. pgin - Number of page-in requests per second.
% 16. ppgin - Number of pages paged in per second.
% 17. pflt - Number of page faults caused by protection errors (copy-on-writes). 
% 18. vflt - Number of page faults caused by address translation. 
% 19. runqsz - Process run queue size.
% 20. freemem - Number of memory pages available to user processes.
% 21. freeswap - Number of disk blocks available for page swapping. 
% 22. usr - Portion of time (%) that cpus run in user mode.
% 23. sys - Portion of time (%) that cpus run in system mode.
% 24. wio - Portion of time (%) that cpus are idle waiting for block IO.
% 25. idle - Portion of time (%) that cpus are otherwise idle.
% 
% The two different regression tasks obtained from these databases are:
% 
% CompAct 
% Predict usr, the portion of time that cpus run in user mode from all attributes 1-21.
% 
% CompAct(s) 
% Predict usr using a restricted number (excluding the paging information (10-18)
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: DELVE repository of data. 
% Characteristics: 8192 cases, 22 continuous attributes

@relation cpu_act

@attribute lread numeric
@attribute lwrite numeric
@attribute scall numeric
@attribute sread numeric
@attribute swrite numeric
@attribute fork numeric
@attribute exec numeric
@attribute rchar numeric
@attribute wchar numeric
@attribute pgout numeric
@attribute ppgout numeric
@attribute pgfree numeric
@attribute pgscan numeric
@attribute atch numeric
@attribute pgin numeric
@attribute ppgin numeric
@attribute pflt numeric
@attribute vflt numeric
@attribute runqsz numeric
@attribute freemem numeric
@attribute freeswap numeric
@attribute usr numeric

@data
6, 2, 1036, 103, 114, 1.00, 1.00, 172076, 355965, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 4.00, 73.60, 89.00, 2.0, 6527, 1851864, 90
1, 0, 2165, 205, 101, 0.40, 1.20, 43107, 44139, 4.80, 42.20, 75.80, 181.40, 0.20, 85.40, 88.20, 19.40, 161.80, 3.0, 130, 1131931, 88
62, 77, 3806, 258, 166, 1.40, 1.40, 492142, 268706, 4.80, 19.40, 44.00, 79.20, 2.20, 7.60, 12.20, 68.00, 218.80, 5.2, 256, 1314590, 85
5, 0, 4721, 256, 177, 0.99, 2.58, 524787, 174964, 14.51, 51.49, 88.47, 189.86, 1.99, 4.17, 24.85, 95.63, 248.91, 1.0, 233, 972606, 81
42, 55, 3949, 249, 244, 2.60, 4.60, 197289, 529200, 4.20, 6.80, 6.60, 0.00, 1.40, 1.80, 2.20, 219.60, 297.20, 3.4, 331, 1013805, 79
5, 1, 1692, 132, 87, 0.40, 1.80, 220194, 107031, 0.00, 0.00, 0.00, 0.00, 0.00, 3.81, 4.01, 23.65, 42.08, 2.2, 2291, 1010703, 92
3, 0, 635, 65, 47, 3.00, 3.00, 87465, 40740, 8.60, 8.80, 8.80, 0.00, 0.00, 1.60, 2.20, 227.60, 226.40, 1.0, 289, 1806587, 82
7, 5, 1341, 240, 120, 0.40, 0.60, 718437, 672290, 0.00, 0.00, 0.00, 0.00, 0.00, 7.60, 15.00, 42.80, 52.80, 4.8, 2532, 1037078, 90
159, 40, 2443, 299, 262, 1.00, 1.00, 240375, 209450, 0.00, 0.00, 0.00, 0.00, 0.20, 18.20, 34.00, 80.40, 154.60, 2.8, 536, 1069565, 87
1, 0, 3322, 271, 170, 1.00, 3.20, 399277, 128680, 0.00, 0.00, 0.00, 0.00, 0.00, 6.40, 9.20, 32.80, 93.60, 1.0, 579, 1120168, 86
9, 3, 1626, 106, 100, 1.20, 1.20, 261018, 111663, 0.00, 0.00, 0.00, 0.00, 0.20, 10.20, 10.20, 72.60, 134.00, 1.0, 615, 1073621, 87
11, 2, 1687, 76, 115, 0.40, 0.40, 76103, 93789, 0.00, 0.00, 0.00, 0.00, 0.60, 9.22, 9.22, 42.89, 83.57, 1.0, 631, 1068366, 93
2, 1, 5402, 406, 274, 0.20, 0.20, 22609, 155154, 2.20, 3.60, 6.60, 8.00, 0.40, 7.40, 7.40, 33.00, 54.20, 2.5, 152, 1015040, 84
6, 2, 2040, 121, 112, 0.60, 0.60, 38688, 60507, 0.00, 0.00, 0.00, 0.00, 0.00, 11.58, 14.57, 43.91, 74.85, 1.0, 1201, 1111232, 92
172, 113, 1427, 171, 134, 0.60, 3.39, 261636, 103649, 0.00, 0.00, 0.00, 0.00, 0.80, 4.99, 5.39, 62.28, 152.10, 744, 92, 8, 0
82, 44, 2342, 156, 323, 0.60, 0.60, 97904, 75368, 0.00, 0.00, 0.00, 0.00, 0.00, 8.00, 12.60, 114.80, 85.60, 3.2, 487, 1320070, 94
