% This is an artificial data set with dependencies between the attribute
% values. The cases are generated using the following method:
% 
% X1 : uniformly distributed over [-5,5]
% X2 : uniformly distributed over [-15,-10]
% X3 : IF (X1 > 0) THEN X3 = green
% ELSE X3 = red with probability 0.4 and X4=brown with prob. 0.6
% X4 : IF (X3=green) THEN X4=X1+2X2
% ELSE X4=X1/2 with prob. 0.3, and X4=X2/2 with prob. 0.7
% X5 : uniformly distributed over [-1,1]
% X6 : X6=X4*[epsilon], where [epsilon] is uniformly distribute over [0,5]
% X7 : X7=yes with prob. 0.3 and X7=no with prob. 0.7
% X8 : IF (X5 < 0.5) THEN X8 = normal ELSE X8 = large
% X9 : uniformly distributed over [100,500]
% X10 : uniformly distributed integer over the interval [1000,1200]
% 
% Obtain the value of the target variable Y using the rules:
% IF (X2 > 2 ) THEN Y = 35 - 0.5 X4
% ELSE IF (-2 <= X4 <= 2) THEN Y = 10 - 2 X1
% ELSE IF (X7 = yes) THEN Y = 3 -X1/X4
% ELSE IF (X8 = normal) THEN Y = X6 + X1
% ELSE Y = X1/2
%
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 40768 cases, 11 attributes (3 nominal, 8 continuous). 

@relation mv
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 {brown, red, green}
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 {no, yes}
@attribute x8 {normal, large}
@attribute x9 numeric
@attribute x10 numeric
@attribute y numeric

@data
3.50591, -13.114, brown, -6.55701, 0.0188457, -17.3705, no, normal, 153.043, 1026, -13.8646
0.254831, -10.0493, brown, -5.02465, -0.155673, -3.72734, no, normal, 191.097, 1126, -3.47251
-1.72699, -10.0929, red, -5.04645, 0.682773, -19.7693, no, large, 256.141, 1091, -0.863493
-4.94135, -13.7953, brown, -6.89764, -0.0935521, -2.17294, yes, normal, 165.52, 1039, -7.11429
-2.12596, -11.5536, brown, -5.77679, -0.667886, -15.3664, no, normal, 311.389, 1152, -17.4924
0.30634, -10.7211, green, -5.36057, -0.653606, -15.85, no, normal, 419.422, 1197, -15.5437
3.94104, -10.9779, red, -5.48895, 0.696259, -4.88908, no, large, 101.375, 1068, 1.97052
1.1662, -13.5458, red, -6.77289, 0.56792, -32.7954, no, large, 374.022, 1099, 0.583101
1.92435, -13.9216, brown, -6.96078, -0.980664, -21.1189, no, normal, 280.062, 1081, -19.1946
0.387225, -13.2787, red, 0.193613, 0.135551, 0.590036, yes, normal, 495.513, 1123, 0.193613
0.892636, -11.973, green, -5.98649, -0.391066, -12.1062, no, normal, 194.862, 1017, -11.2136
3.73108, -10.352, brown, -5.17602, -0.458295, -6.09351, no, normal, 431.147, 1137, -2.36243
-1.24657, -13.1671, red, -0.623284, -0.801916, -0.476476, no, normal, 238.545, 1028, -1.72304
-1.49595, -10.3219, brown, -5.16093, -0.690291, -14.4159, no, normal, 312.424, 1159, -15.9119
-4.49927, -12.9792, brown, -6.48958, -0.822812, -20.3162, no, normal, 123.433, 1091, -24.8155
