% This is a family of datasets synthetically generated from a realistic
% simulation of the dynamics of a Unimation Puma 560 robot arm. There
% are eight datastets in this family . In this repository we only have
% two of them. They are all variations on the same model; a realistic
% simulation of the dynamics of a Puma 560 robot arm. The task in these
% datasets is to predict the angular accelaration of one of the robot
% arm's links. The inputs include angular positions, velocities and
% torques of the robot arm. The family has been specifically generated
% for the delve environment and so the individual datasets span the
% corners of a cube whose dimensions represent:
% 
% Number of inputs 8. 
% degree of non-linearity (fairly linear or non-linear) 
% amount of noise in the output (moderate or high). 
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original Source: DELVE repository of data. 
% Characteristics: 8192 (4500+3692) cases, 9 continuous variables. 
 
@relation puma8NH
 
@attribute theta1  numeric
@attribute theta2  numeric
@attribute theta3  numeric
@attribute thetad1  numeric
@attribute thetad2  numeric
@attribute thetad3  numeric
@attribute tau1  numeric
@attribute tau2  numeric
@attribute thetadd3  numeric

@data
1.537614,-0.059370,1.201468,1.427548,1.090218,1.530334,-0.567986,-0.140463,6.321392
-0.207424,0.984767,1.063136,-1.258238,-1.777808,0.697755,-0.326937,-0.024999,9.122258
-0.448652,-0.670643,0.539996,1.540304,-0.092091,1.658839,0.515485,-0.236198,2.887800
1.188242,1.563711,1.244987,1.497807,-1.826647,1.699286,-0.300588,0.022652,4.631216
1.115093,1.141794,1.285745,0.389825,-0.320503,0.510539,0.097198,0.412442,-0.443591
-1.099690,1.377836,-1.279533,-1.537403,-0.154722,0.832828,-0.110465,-0.181488,5.987181
-0.120829,1.204484,-0.654551,-0.441483,-0.812690,-0.498546,0.462281,-0.440535,0.658118
0.840910,-0.222823,-1.458830,0.954684,0.624153,-1.523538,-0.276099,-0.004282,3.556650
0.506034,-0.012869,-1.408375,0.719148,0.391425,0.184612,0.046232,-0.586140,-2.681732
0.154190,1.550283,1.755983,-1.822316,-0.912246,0.103702,0.388885,-0.412139,-5.644916
1.384354,-1.051340,-0.303622,1.487981,-1.092646,-0.858988,0.558275,0.122619,-6.401070
-1.813450,1.080249,-0.146967,-0.788660,-0.007146,0.527217,0.522645,0.087627,6.846337
1.109071,1.712904,1.732694,-1.172016,-0.290027,0.018490,0.518491,-0.127284,-7.590254
0.268833,-1.849321,1.383085,0.243711,-1.850150,-1.242170,0.194303,0.458851,-2.616838
-0.104899,1.278512,-0.538146,-0.599261,1.418067,0.067853,-0.598216,0.583732,4.109551
-1.788758,1.387170,1.035941,1.604002,-0.170335,-1.462443,0.170202,-0.219358,4.067661
-0.943742,-1.463098,0.842129,1.417497,1.797965,-1.202999,-0.246207,-0.402805,-3.197593
-0.781413,1.161937,0.530035,0.005658,0.847856,-0.350939,0.534700,-0.099872,6.473524
1.422375,0.842228,-0.696787,-1.551812,-1.063325,1.840961,0.438108,0.073434,3.674047
0.116643,0.073194,1.180380,1.377298,0.988155,1.470639,0.475576,-0.188598,8.644664
-1.510521,-0.745708,1.833322,1.151286,-1.295453,-1.440480,0.069631,0.288004,9.056698
1.211795,1.575905,-1.159272,-0.977741,0.153927,0.894015,-0.368444,-0.445679,1.285486
-1.748847,1.122984,1.812410,0.285844,1.317785,-0.220720,-0.016233,-0.429463,8.307914
0.756098,-0.630909,1.075924,-1.212111,0.649233,1.529559,0.087200,0.373087,4.417237
-0.691630,-1.597187,1.615327,1.669773,0.647788,-0.130258,0.341391,0.563158,-2.178250
1.220679,0.095012,-1.580451,0.154057,-0.692872,0.159731,0.132942,-0.042673,-3.413480
-1.619424,1.095386,1.678510,0.471628,-1.476102,0.938072,0.130627,-0.555509,8.290132
0.584415,1.649017,-1.363415,-1.396721,0.548146,-0.978373,0.264333,0.242566,-2.626081
