% The task consists of Learning Quantitative Structure Activity
% Relationships (QSARs). The Inhibition of Dihydrofolate Reductase by
% Pyrimidines.The data are described in: King, Ross .D., Muggleton,
% Steven., Lewis, Richard. and Sternberg, Michael.J.E. Drug Design by
% machine learning: the use of inductive logic programming to model the
% structure-activity relationships of trimethoprim analogues binding to
% dihydrofolate reductase.
% 
% Original source: ?. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 74 cases; 28 continuous variables 

@relation pyrim

@attribute p1_polar numeric
@attribute p1_size numeric
@attribute p1_flex numeric
@attribute p1_h_doner numeric
@attribute p1_h_acceptor numeric
@attribute p1_pi_doner numeric
@attribute p1_pi_acceptor numeric
@attribute p1_polarisable numeric
@attribute p1_sigma numeric
@attribute p2_polar numeric
@attribute p2_size numeric
@attribute p2_flex numeric
@attribute p2_h_doner numeric
@attribute p2_h_acceptor numeric
@attribute p2_pi_doner numeric
@attribute p2_pi_acceptor numeric
@attribute p2_polarisable numeric
@attribute p2_sigma numeric
@attribute p3_polar numeric
@attribute p3_size numeric
@attribute p3_flex numeric
@attribute p3_h_doner numeric
@attribute p3_h_acceptor numeric
@attribute p3_pi_doner numeric
@attribute p3_pi_acceptor numeric
@attribute p3_polarisable numeric
@attribute p3_sigma numeric
@attribute activity numeric

@data
0.500, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.367, 0.420, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.571
0.500, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.367, 0.580, 0.420, 0.260, 0.100, 0.900, 0.100, 0.900, 0.100, 0.100, 0.260, 0.900, 0.367, 0.100, 0.100, 0.100, 0.500, 0.000, 0.367, 0.900, 0.900
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.833
0.100, 0.740, 0.700, 0.100, 0.500, 0.100, 0.100, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.582
0.100, 0.420, 0.400, 0.100, 0.500, 0.100, 0.100, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.587
0.300, 0.420, 0.300, 0.900, 0.900, 0.100, 0.100, 0.367, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.633, 0.633, 0.633, 0.900, 0.900, 0.100, 0.000, 0.367, 0.100, 0.549
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.742
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.634
0.900, 0.420, 0.100, 0.100, 0.100, 0.100, 0.900, 0.100, 0.580, 0.420, 0.420, 0.100, 0.500, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.639
0.500, 0.260, 0.100, 0.900, 0.900, 0.900, 0.100, 0.367, 0.420, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.900, 0.367, 0.100, 0.900, 0.900, 0.900, 0.000, 0.367, 0.633, 0.100
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.260, 0.100, 0.900, 0.100, 0.900, 0.100, 0.100, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.547
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.580, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.500, 0.580, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.568
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.900, 0.700, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.516
0.500, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.367, 0.580, 0.420, 0.260, 0.100, 0.900, 0.100, 0.900, 0.100, 0.100, 0.260, 0.367, 0.367, 0.100, 0.100, 0.100, 0.100, 0.000, 0.367, 0.100, 0.900
0.900, 0.260, 0.100, 0.100, 0.500, 0.100, 0.100, 0.100, 0.900, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.538
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.531
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.900, 0.700, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.763
0.300, 0.580, 0.500, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.619
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.260, 0.420, 0.100, 0.100, 0.500, 0.900, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.613
0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.619
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.500, 0.100, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.859
0.300, 0.900, 0.900, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.100, 0.100, 0.100, 0.100, 0.000, 0.100, 0.100, 0.540
0.300, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.900, 0.260, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.633, 0.367, 0.100, 0.100, 0.100, 0.500, 0.000, 0.900, 0.367, 0.893
0.300, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.367, 0.260, 0.420, 0.740, 0.300, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.633, 0.633, 0.100, 0.100, 0.500, 0.500, 0.000, 0.367, 0.367, 0.838
0.500, 0.260, 0.100, 0.100, 0.100, 0.500, 0.100, 0.633, 0.420, 0.420, 0.260, 0.100, 0.900, 0.100, 0.900, 0.100, 0.100, 0.260, 0.900, 0.367, 0.100, 0.100, 0.100, 0.500, 0.000, 0.633, 0.633, 0.897
0.100, 0.260, 0.100, 0.100, 0.100, 0.100, 0.100, 0.367, 0.100, 0.420, 0.420, 0.100, 0.100, 0.500, 0.500, 0.100, 0.500, 0.260, 0.367, 0.367, 0.100, 0.100, 0.100, 0.100, 0.000, 0.367, 0.100, 0.745
