% This is a dataset obtained from the StatLib repository. Here is the included description:
%
% The data provided are daily stock prices from January 1988 through October 1991, for ten aerospace companies.
%
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: StatLib repository. 
% Characteristics: 950 cases, 10 continuous attributes

@relation stock

@attribute company1 numeric
@attribute company2 numeric
@attribute company3 numeric
@attribute company4 numeric
@attribute company5 numeric
@attribute company6 numeric
@attribute company7 numeric
@attribute company8 numeric
@attribute company9 numeric
@attribute company10 numeric

@data
17.219,50.5,18.75,43,60.875,26.375,67.75,19,48.75,34.875
17.891,51.375,19.625,44,62,26.125,68.125,19.125,48.75,35.625
18.438,50.875,19.875,43.875,61.875,27.25,68.5,18.25,49,36.375
18.672,51.5,20,44,62.625,27.875,69.375,18.375,49.625,36.25
17.438,49,20,41.375,59.75,25.875,63.25,16.5,47.5,35.5
18.109,49,19.5,41.875,59.625,26.625,66.25,17.125,47.75,34.375
18.563,49.375,19.125,42.5,60.75,27.25,65.75,16.875,47.875,34
18.672,50.125,19.25,43,61.75,28,66,16.875,47.25,34.625
18.563,49.75,19,43.25,61.75,29,65.75,17.125,47,34.875
19.063,50.5,19.125,43.875,61.875,29.625,66.875,17.75,47.375,36
19,50.25,19.625,44,62.125,30,66.5,17.375,47.75,35.625
19.063,49.75,20,44.375,61.25,29.875,66.5,16.875,48,35.375
18.719,49.25,19,43.5,60.375,29,65.875,16.5,48,34.5
18.438,49.25,18.375,43.375,60.375,29,65,16.5,47.5,34.875
19.063,50.25,18.375,43.5,60.375,29.125,65.75,16.375,47.875,36.625
20,50.25,18.125,44,60.75,30,67,16.75,49,37
19.891,50.125,18.25,44.625,60.875,30,66.25,17,48.125,37.375
19.563,50.125,18.625,46,61.25,29.75,66.5,16.875,48.75,37.75
19.891,51,18.75,46.5,61.875,31.375,67.375,17.625,49,37.875
20.328,52.25,18.875,47,63.5,32.125,67.625,17.875,49.25,38.375
20.563,52.625,18.875,46.5,63.375,32.125,67,18,49,38.625
20.438,53.25,19.25,46.125,63.625,32.125,66.375,18.25,48.875,38.5
20.5,53.75,19.25,46,63.25,30.75,66.5,18,47.75,37.5
20.563,53.75,19.125,45.75,63.25,30,67.375,18.25,47.5,37.125
20.328,53.5,19,45.5,62.375,30,67.375,18.375,46,37.375
19.891,52.875,18.875,45,61.375,29.25,67.375,17.625,44.5,36.375
20.391,52.5,19,45.125,61.625,29.25,67.5,18,46,36.375
20.891,52.75,19.25,45.25,62,29.5,68.375,18,46.75,37
20.891,52.125,19,46,62,29.875,68.5,17.625,47,37
21.063,52.5,19.125,47.25,62.25,29.875,68.875,18.125,47.25,37.375
21.281,52.75,19.125,46.875,62,29.375,69.25,18.25,47.125,37.625
21.219,53.375,18.875,46.125,61.625,28.875,69,18.25,47.75,38.25
20.891,52.375,18.625,46.375,61.375,28.875,68.375,17.75,47.75,38
21.281,52.75,19,46.125,62.25,28.75,69.75,18.375,47.375,38.75
21.328,53,19.125,46.375,63,29.125,70.5,18.875,48.25,40.25
21.219,53.125,20,46.875,63.25,28.75,70,18.625,48,39.625
21.281,52.625,19.875,46.75,63.5,28.375,69.875,18.125,48.5,40.625
21.328,52.25,19.25,46.375,63.25,27.625,69.5,18.125,49.125,40.375
21.109,52.25,19.375,45.75,63.375,27.5,69.625,18.375,49.5,40.25
21.109,52.5,19.25,46.875,63.5,28.125,70.625,18.625,49.875,40.75
20.891,52.75,19.625,46.75,63.25,29.25,70.625,18.375,49,40.375
20.438,52.875,19.5,46.875,62.875,29.5,70.25,18.125,47.75,40.25
20.672,53.375,19.5,47,63,30.375,70.125,18,48.375,39.5
20.828,53.875,19.375,47,63.25,30.125,69.75,18.25,48.625,39
21.063,54.5,19.25,46.75,63.25,30.25,68.75,18.875,48.625,39.25
21.063,54,19.5,46.375,63.75,30.5,68.75,18.875,49.5,40
21.109,53.125,19.875,46.25,63.125,30,68,18.75,50.125,39.625
21.172,53,19.25,45,62.5,29.875,67,18.875,50.25,38.875
21.109,53,19.25,45.875,62,30.25,67.125,19,50,39.875
21.281,53.75,19.875,45.625,62.125,30,67.5,19.375,50.625,40.75
21.672,54,20.625,45.625,62.375,29.75,67.375,19.75,50.75,40.75
21.563,55,21.125,46.625,62.75,29.875,68.125,20,51.5,42
21.719,55.75,23.125,47.25,63.625,30.125,69.75,20.125,52.125,42.125
22,57.125,25,48.125,63.75,31,69.625,20,53,42.25
21.672,58.125,25.125,47.75,63.125,30.625,69.125,20.125,52.25,41.75
21.563,58.5,23.875,47.875,63.625,31.625,69.125,21.5,51,41.875
21.063,57.75,23.625,47.75,63.625,31.375,69.375,20.875,51,42.25
20.609,56.125,22.875,47.25,63.75,30.25,68.75,20.125,50.5,40.625
20.891,54.875,22.625,46.25,62.375,29.75,67.625,19.625,50.375,40
20.781,55,24,45.375,61.625,29.875,66.375,20.125,49.5,40
20.938,54.25,24.375,44.75,61.875,30,66.5,20,50.25,40.125
20.672,53.375,23.375,44,61.5,30,66.25,19.875,50,39.5
20.672,53,23.25,44.5,61.75,29.875,66.5,19.75,49.25,39
19.938,52.375,23.125,44.125,61.875,29.375,65.25,19.25,48.75,38.375
20.438,52.5,23.125,45,62.625,29.625,65.875,19.875,48.5,38.5
21,54.125,24,45.875,64.25,31.5,65.625,19.75,48.75,39.375
20.781,54.625,23.75,45.5,64.625,30.875,65.875,19.875,48.5,40.5
21.063,55.5,23.625,45.75,64.875,30.75,66.125,20.25,48.625,41.125
21.063,54.625,23.875,45.5,65.625,30.75,67.375,20,48.5,40.875
21.063,54.5,23.875,45.25,65.375,31.125,67.875,19.875,48.125,40.875
21.063,54.875,23.5,45.25,65.75,30,68.625,20,48.125,41.5
20.438,54.125,22,43.75,63.875,28.5,66.5,18.125,45.25,39.875
20.5,53.625,22,42.875,64.25,28.375,66.625,18.375,45.125,39.125
20.172,53.5,21.875,42.625,64.25,28,66.25,18.125,44.75,39.125
20,53.5,21.75,42.75,64,27.75,66.375,18.125,44.25,38.75
20,53.625,21.5,42.625,63.75,27.375,65.375,18.5,44.25,38.125
20.172,53,21.25,42.625,63.875,27.75,65.75,18.125,44.25,38.375
20.281,54.25,21.75,43.125,64,28.625,66.125,19.125,44.375,38.875
20.891,54.5,21.625,43.5,64.25,28.625,66.5,19,44,39.25
20.828,54.75,21.625,43.125,64.625,28.875,66.375,18.875,43.125,39.625
20.938,54.75,21.875,42.875,64.75,28.375,66.25,18.875,43.5,40.125
21.438,54.75,21.5,42.625,64.125,28.25,66.375,18.75,43,39.375
21.328,54.875,21,42.5,63.875,28.75,66.75,18.25,43.25,38.875
21.438,55.25,21.125,43.25,64.125,29,67,18.25,44,39.375
22,56.625,21.375,43.75,64.25,29.25,67.75,18.375,44.375,39.75
21.828,55.25,21.125,44,64.25,29.375,66.875,18.375,44.25,39.25
21.672,55.375,20.625,43.125,63.875,29.625,67,18.125,43.5,38.25
