Fat.grams	Food.energy.calories	Carbohydrates.grams	Protein.grams	Cholesterol.mg	weight.grams	Saturated.fat.grams	cluster.id	Fat2.grams	Food.energy2.calories	Carbohydrates2.grams	Protein2.grams	Cholesterol2.mg	Saturated.fat2.grams
2	25	2	0	2	15	.2	1	.13333333333333333	1.6666666666666667	.13333333333333333	0	.13333333333333333	.013333333333333334
6	60	2	0	4	16	1	1	.375	3.75	.125	0	.25	.0625
1	90	22	4	0	28.35	.1	1	.03527336860670194	3.1746031746031744	.7760141093474426	.14109347442680775	0	.003527336860670194
0	90	22	3	0	28.35	.1	1	0	3.1746031746031744	.7760141093474426	.10582010582010581	0	.003527336860670194
0	10	1	1	0	33	0	1	0	.30303030303030304	.030303030303030304	.030303030303030304	0	0
1	70	21	4	0	28.35	.1	1	.03527336860670194	2.4691358024691357	.7407407407407407	.14109347442680775	0	.003527336860670194
0	125	29	3	0	53	0	1	0	2.358490566037736	.5471698113207547	.05660377358490566	0	0
0	155	42	1	0	64	0	1	0	2.421875	.65625	.015625	0	0
0	15	3	2	0	60	.1	1	0	.25	.05	.03333333333333333	0	.0016666666666666668
0	15	3	2	0	60	0	1	0	.25	.05	.03333333333333333	0	0
0	10	2	1	0	80	0	1	0	.125	.025	.0125	0	0
0	10	2	1	0	80	0	1	0	.125	.025	.0125	0	0
0	5	1	0	0	4.3	0	1	0	1.1627906976744187	.23255813953488372	0	0	0
0	5	1	0	0	3.8	0	1	0	1.3157894736842106	.2631578947368421	0	0	0
0	5	1	0	0	3	0	1	0	1.6666666666666667	.3333333333333333	0	0	0
0	5	1	0	0	2.9	0	1	0	1.7241379310344829	.3448275862068966	0	0	0
3	95	14	2	0	28	.8	1	.10714285714285714	3.392857142857143	.5	.07142857142857142	0	.028571428571428574
5	100	13	2	0	28	1.2	1	.17857142857142858	3.5714285714285716	.4642857142857143	.07142857142857142	0	.04285714285714286
2	65	10	1	1	20	.6	1	.1	3.25	.5	.05	.05	.03
0	10	2	0	0	16	0	1	0	.625	.125	0	0	0
8	75	1	1	3	15	1.5	1	.5333333333333333	5	.06666666666666667	.06666666666666667	.2	.1
5	135	20	3	19	45	1.5	1	.1111111111111111	3	.4444444444444444	.06666666666666667	.4222222222222222	.03333333333333333
1	95	21	2	3	45	.3	1	.022222222222222223	2.111111111111111	.4666666666666667	.044444444444444446	.06666666666666667	.006666666666666666
1	95	21	2	3	45	.3	1	.022222222222222223	2.111111111111111	.4666666666666667	.044444444444444446	.06666666666666667	.006666666666666666
1	15	1	1	1	6	.3	1	.16666666666666666	2.5	.16666666666666666	.16666666666666666	.16666666666666666	.049999999999999996
4	140	24	3	28	45	1.3	1	.08888888888888889	3.111111111111111	.5333333333333333	.06666666666666667	.6222222222222222	.02888888888888889
6	125	19	3	24	45	1.4	1	.13333333333333333	2.7777777777777777	.4222222222222222	.06666666666666667	.5333333333333333	.03111111111111111
0	10	2	1	0	30	0	1	0	.3333333333333333	.06666666666666667	.03333333333333333	0	0
5	50	0	2	9	13	1.7	1	.38461538461538464	3.8461538461538463	0	.15384615384615385	.6923076923076923	.13076923076923078
6	95	11	1	18	20	1.4	1	.3	4.75	.55	.05	.9	.06999999999999999
4	100	16	1	14	25	1.6	1	.16	4	.64	.04	.56	.064
4	35	0	0	11	5	2.5	1	.8	7	0	0	2.2	.5
4	35	0	0	11	5	2.5	1	.8	7	0	0	2.2	.5
0	10	2	1	0	76	0	1	0	.13157894736842105	.02631578947368421	.013157894736842105	0	0
0	15	4	1	0	70	0	1	0	.21428571428571427	.05714285714285714	.014285714285714285	0	0
0	20	4	1	0	70	0	1	0	.2857142857142857	.05714285714285714	.014285714285714285	0	0
0	20	4	1	0	70	0	1	0	.2857142857142857	.05714285714285714	.014285714285714285	0	0
