year,suns_spot_number
1700,5
1705,58
1710,3
1715,27
1720,28
1725,40
1730,47
1735,34
1740,73
1745,11
1750,83.4
1755,9.6
1760,62.9
1765,20.9
1770,100.8
1775,7
1780,84.8
1785,24.1
1790,89.9
1795,21.3
1800,14.5
1805,42.2
1810,0
1815,35.4
1820,15.6
1825,16.6
1830,70.9
1835,56.9
1840,64.6
1845,40.1
1850,66.6
1855,6.7
1860,95.8
1865,30.5
1870,139
1875,17
1880,32.3
1885,52.2
1890,7.1
1895,64
1900,9.5
1905,63.5
1910,18.6
1915,47.4
1920,37.6
1925,44.3
1930,35.7
1935,36.1
1940,67.8
1945,33.2
1950,83.9
1955,38
1960,112.3
1965,15.1
1970,104.5
1975,15.5
1980,154.6
1985,17.9
1990,142.2
1995,17.5
2000,119.6
2005,29.8
2010,16.5
1701,11
1706,29
1711,0
1716,47
1721,26
1726,78
1731,35
1736,70
1741,40
1746,22
1751,47.7
1756,10.2
1761,85.9
1766,11.4
1771,81.6
1776,19.8
1781,68.1
1786,82.9
1791,66.6
1796,16
1801,34
1806,28.1
1811,1.4
1816,45.8
1821,6.6
1826,36.3
1831,47.8
1836,121.5
1841,36.7
1846,61.5
1851,64.5
1856,4.3
1861,77.2
1866,16.3
1871,111.2
1876,11.3
1881,54.3
1886,25.4
1891,35.6
1896,41.8
1901,2.7
1906,53.8
1911,5.7
1916,57.1
1921,26.1
1926,63.9
1931,21.2
1936,79.7
1941,47.5
1946,92.6
1951,69.4
1956,141.7
1961,53.9
1966,47
1971,66.6
1976,12.6
1981,140.4
1986,13.4
1991,145.8
1996,8.6
2001,110.9
2006,15.2
2011,55.7
1702,16
1707,20
1712,0
1717,63
1722,22
1727,122
1732,11
1737,81
1742,20
1747,40
1752,47.8
1757,32.4
1762,61.2
1767,37.8
1772,66.5
1777,92.5
1782,38.5
1787,132
1792,60
1797,6.4
1802,45
1807,10.1
1812,5
1817,41.1
1822,4
1827,49.6
1832,27.5
1837,138.3
1842,24.2
1847,98.5
1852,54.1
1857,22.7
1862,59.1
1867,7.3
1872,101.6
1877,12.4
1882,59.7
1887,13.1
1892,73
1897,26.2
1902,5
1907,62
1912,3.6
1917,103.9
1922,14.2
1927,69
1932,11.1
1937,114.4
1942,30.6
1947,151.6
1952,31.5
1957,190.2
1962,37.6
1967,93.8
1972,68.9
1977,27.5
1982,115.9
1987,29.4
1992,94.5
1997,21.6
2002,104.1
2007,7.6
2012,57.6
1703,23
1708,10
1713,2
1718,60
1723,11
1728,103
1733,5
1738,111
1743,16
1748,60
1753,30.7
1758,47.6
1763,45.1
1768,69.8
1773,34.8
1778,154.4
1783,22.8
1788,130.9
1793,46.9
1798,4.1
1803,43.1
1808,8.1
1813,12.2
1818,30.1
1823,1.8
1828,64.2
1833,8.5
1838,103.2
1843,10.7
1848,124.7
1853,39
1858,54.8
1863,44
1868,37.6
1873,66.2
1878,3.4
1883,63.7
1888,6.8
1893,85.1
1898,26.7
1903,24.4
1908,48.5
1913,1.4
1918,80.6
1923,5.8
1928,77.8
1933,5.7
1938,109.6
1943,16.3
1948,136.3
1953,13.9
1958,184.8
1963,27.9
1968,105.9
1973,38
1978,92.5
1983,66.6
1988,100.2
1993,54.7
1998,64.2
2003,63.6
2008,2.9
2013,64.7
1704,36
1709,8
1714,11
1719,39
1724,21
1729,73
1734,16
1739,101
1744,5
1749,80.9
1754,12.2
1759,54
1764,36.4
1769,106.1
1774,30.6
1779,125.9
1784,10.2
1789,118.1
1794,41
1799,6.8
1804,47.5
1809,2.5
1814,13.9
1819,23.9
1824,8.5
1829,67
1834,13.2
1839,85.7
1844,15
1849,96.3
1854,20.6
1859,93.8
1864,47
1869,74
1874,44.7
1879,6
1884,63.5
1889,6.3
1894,78
1899,12.1
1904,42
1909,43.9
1914,9.6
1919,63.6
1924,16.7
1929,64.9
1934,8.7
1939,88.8
1944,9.6
1949,134.7
1954,4.4
1959,159
1964,10.2
1969,105.5
1974,34.5
1979,155.4
1984,45.9
1989,157.6
1994,29.9
1999,93.4
2004,40.4
2009,3.1
2014,79.3
