% This data set consists of three types of entities:
% (a) the specification of an auto in terms of various characteristics;
% (b) its assigned insurance risk rating,;
% (c) its normalized losses in use as compared to other cars. 
% The second rating corresponds to the degree to which the auto is more risky than its price indicates. Cars are initially
% assigned a risk factor symbol associated with its price. Then, if it is more risky (or less), this symbol is adjusted by
% moving it up (or down) the scale. Actuarians call this process "symboling". A value of +3 indicates that the auto is
% risky, -3 that it is probably pretty safe.The third factor is the relative average loss payment per insured vehicle year.
% This value is normalized for all autos within a particular size classification (two-door small, station wagons,
% sports/speciality, etc...), and represents the average loss per car per year.
% - Note: Several of the attributes in the database could be used as a "class" attribute.
% The original data (from the UCI repository) (http://www.ics.uci.edu/~mlearn/MLSummary.html) has 205 instances
% described by 26 attributes :
% - 15 continuous
% - 1 integer
% - 10 nominal
% The following provides more information on these attributes:
% 
%   1. symboling:                 -3, -2, -1, 0, 1, 2, 3.
%   2. normalized-losses:        continuous from 65 to 256.
%   3. make:                     alfa-romero, audi, bmw, chevrolet, dodge, honda,
%                                isuzu, jaguar, mazda, mercedes-benz, mercury,
%                                mitsubishi, nissan, peugot, plymouth, porsche,
%                                renault, saab, subaru, toyota, volkswagen, volvo
%   4. fuel-type:                diesel, gas.
%   5. aspiration:               std, turbo.
%   6. num-of-doors:             four, two.
%   7. body-style:               hardtop, wagon, sedan, hatchback,convertible.
%   8. drive-wheels:             4wd, fwd, rwd.
%   9. engine-location:          front, rear.
%  10. wheel-base:               continuous from 86.6 120.9.
%  11. length:                   continuous from 141.1 to 208.1.
%  12. width:                    continuous from 60.3 to 72.3.
%  13. height:                   continuous from 47.8 to 59.8.
%  14. curb-weight:              continuous from 1488 to 4066.
%  15. engine-type:              dohc, dohcv, l, ohc, ohcf, ohcv, rotor.
%  16. num-of-cylinders:         eight, five, four, six, three, twelve, two.
%  17. engine-size:              continuous from 61 to 326.
%  18. fuel-system:              1bbl, 2bbl, 4bbl, idi, mfi, mpfi, spdi, spfi.
%  19. bore:                     continuous from 2.54 to 3.94.
%  20. stroke:                   continuous from 2.07 to 4.17.
%  21. compression-ratio:        continuous from 7 to 23.
%  22. horsepower:               continuous from 48 to 288.
%  23. peak-rpm:                 continuous from 4150 to 6600.
%  24. city-mpg:                 continuous from 13 to 49.
%  25. highway-mpg:              continuous from 16 to 54.
%  26. price:                    continuous from 5118 to 45400.
% 
% The original data also has some missing attribute values denoted by "?" : 
% 
%    Attribute #:   Number of instances missing a value:
%    2.             41
%    6.             2
%    19.            4
%    20.            4
%    22.            2
%    23.            2
%    26.            4
% 
% I've changed the original data in the following way :
% - All instances with unknowns were removed giving 159 instances.
% - The goal variable is "price"
% - All nominal attributes (10) were removed.
% 
% Original source: UCI machine learning repository. (http://www.ics.uci.edu/~mlearn/MLSummary.html). 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 159 cases; 14 continuous variables; 1 nominal vars.. 

@relation auto_price
@attribute symboling                {-3, -2, -1, 0, 1, 2, 3}
@attribute normalized-losses        numeric
@attribute wheel-base               numeric
@attribute length                   numeric
@attribute width                    numeric
@attribute height                   numeric
@attribute curb-weight              numeric
@attribute engine-size              numeric
@attribute bore                     numeric
@attribute stroke                   numeric
@attribute compression-ratio        numeric
@attribute horsepower               numeric
@attribute peak-rpm                 numeric
@attribute city-mpg                 numeric
@attribute highway-mpg              numeric
@attribute price                    numeric
@data
2,164,99.80,176.60,66.20,54.30,2337,109,3.19,3.40,10.00,102,5500,24,30,13950
2,164,99.40,176.60,66.40,54.30,2824,136,3.19,3.40,8.00,115,5500,18,22,17450
1,158,105.80,192.70,71.40,55.70,2844,136,3.19,3.40,8.50,110,5500,19,25,17710
1,158,105.80,192.70,71.40,55.90,3086,131,3.13,3.40,8.30,140,5500,17,20,23875
2,192,101.20,176.80,64.80,54.30,2395,108,3.50,2.80,8.80,101,5800,23,29,16430
0,192,101.20,176.80,64.80,54.30,2395,108,3.50,2.80,8.80,101,5800,23,29,16925
0,188,101.20,176.80,64.80,54.30,2710,164,3.31,3.19,9.00,121,4250,21,28,20970
0,188,101.20,176.80,64.80,54.30,2765,164,3.31,3.19,9.00,121,4250,21,28,21105
2,121,88.40,141.10,60.30,53.20,1488,61,2.91,3.03,9.50,48,5100,47,53,5151
1,98,94.50,155.90,63.60,52.00,1874,90,3.03,3.11,9.60,70,5400,38,43,6295
0,81,94.50,158.80,63.60,52.00,1909,90,3.03,3.11,9.60,70,5400,38,43,6575
1,118,93.70,157.30,63.80,50.80,1876,90,2.97,3.23,9.41,68,5500,37,41,5572
1,118,93.70,157.30,63.80,50.80,1876,90,2.97,3.23,9.40,68,5500,31,38,6377
1,118,93.70,157.30,63.80,50.80,2128,98,3.03,3.39,7.60,102,5500,24,30,7957
1,148,93.70,157.30,63.80,50.60,1967,90,2.97,3.23,9.40,68,5500,31,38,6229
1,148,93.70,157.30,63.80,50.60,1989,90,2.97,3.23,9.40,68,5500,31,38,6692
1,148,93.70,157.30,63.80,50.60,1989,90,2.97,3.23,9.40,68,5500,31,38,7609
-1,110,103.30,174.60,64.60,59.80,2535,122,3.34,3.46,8.50,88,5000,24,30,8921
3,145,95.90,173.20,66.30,50.20,2811,156,3.60,3.90,7.00,145,5000,19,24,12964
2,137,86.60,144.60,63.90,50.80,1713,92,2.91,3.41,9.60,58,4800,49,54,6479
2,137,86.60,144.60,63.90,50.80,1819,92,2.91,3.41,9.20,76,6000,31,38,6855
1,101,93.70,150.00,64.00,52.60,1837,79,2.91,3.07,10.10,60,5500,38,42,5399
1,101,93.70,150.00,64.00,52.60,1940,92,2.91,3.41,9.20,76,6000,30,34,6529
1,101,93.70,150.00,64.00,52.60,1956,92,2.91,3.41,9.20,76,6000,30,34,7129
0,110,96.50,163.40,64.00,54.50,2010,92,2.91,3.41,9.20,76,6000,30,34,7295
0,78,96.50,157.10,63.90,58.30,2024,92,2.92,3.41,9.20,76,6000,30,34,7295
0,106,96.50,167.50,65.20,53.30,2236,110,3.15,3.58,9.00,86,5800,27,33,7895
0,106,96.50,167.50,65.20,53.30,2289,110,3.15,3.58,9.00,86,5800,27,33,9095
0,85,96.50,175.40,65.20,54.10,2304,110,3.15,3.58,9.00,86,5800,27,33,8845
0,85,96.50,175.40,62.50,54.10,2372,110,3.15,3.58,9.00,86,5800,27,33,10295
0,85,96.50,175.40,65.20,54.10,2465,110,3.15,3.58,9.00,101,5800,24,28,12945
1,107,96.50,169.10,66.00,51.00,2293,110,3.15,3.58,9.10,100,5500,25,31,10345
0,145,113.00,199.60,69.60,52.80,4066,258,3.63,4.17,8.10,176,4750,15,19,32250
1,104,93.10,159.10,64.20,54.10,1890,91,3.03,3.15,9.00,68,5000,30,31,5195
1,104,93.10,159.10,64.20,54.10,1900,91,3.03,3.15,9.00,68,5000,31,38,6095
