% This database was designed on the basis of data provided by US Census
% Bureau [http://www.census.gov] (under Lookup Access
% [http://www.census.gov/cdrom/lookup]: Summary Tape File 1). The data
% were collected as part of the 1990 US census. These are mostly counts
% cumulated at different survey levels. For the purpose of this data set
% a level State-Place was used. Data from all states was obtained. Most
% of the counts were changed into appropriate proportions.  There are 4
% different data sets obtained from this database: House(8H) House(8L)
% House(16H) House(16L) These are all concerned with predicting the
% median price of the house in the region based on demographic
% composition and a state of housing market in the region. A number in
% the name signifies the number of attributes of the data set. A
% following letter denotes a very rough approximation to the difficulty
% of the task. For Low task difficulty, more correlated attributes were
% chosen as signified by univariate smooth fit of that input on the
% target. Tasks with High difficulty have had their attributes chosen to
% make the modelling more difficult due to higher variance or lower
% correlation of the inputs to the target.
% 
% Original source: DELVE repository of data. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 22784 cases, 9 continuous attributes.

@relation house_8L.arff
@attribute P3 numeric
@attribute P6p4 numeric
@attribute P11p3 numeric
@attribute P16p2 numeric
@attribute P19p2 numeric
@attribute H5p2 numeric
@attribute H15p1 numeric
@attribute H40p4 numeric
@attribute price numeric

@data
7074.0000000, 0.0049639, 0.5074781, 0.5797286, 0.0366129, 0.0202439, 6.6187845, 0.7740586, 130600.0000000
597.0000000, 0.0038710, 0.4800000, 0.6951424, 0.0033501, 0.1707317, 7.1639344, 0.1428571, 40500.0000000
1931.0000000, 0.0023202, 0.4777473, 0.6835836, 0.0000000, 0.1176471, 6.1858476, 0.6875000, 28700.0000000
164.0000000, 0.0000000, 0.4925054, 0.7804878, 0.0000000, 0.1000000, 6.6198347, 1.0000000, 28500.0000000
119.0000000, 0.0000000, 0.4806452, 0.7563025, 0.6722689, 0.0000000, 6.1616162, 0.0000000, 24100.0000000
164.0000000, 0.0000000, 0.4316703, 0.7926829, 0.0548780, 0.2500000, 5.0530973, 0.5000000, 14999.0000000
261.0000000, 0.0000000, 0.4813278, 0.7241379, 0.0000000, 0.0000000, 6.5921788, 0.0000000, 33200.0000000
32112.0000000, 0.0237825, 0.5384666, 0.6148480, 0.2639823, 0.0696805, 6.7114230, 0.2487805, 66300.0000000
1209.0000000, 0.0054256, 0.5239064, 0.6749380, 0.0041356, 0.0471380, 6.7313054, 0.5714286, 138000.0000000
1263.0000000, 0.0213808, 0.5142539, 0.8859857, 0.0095012, 0.1142857, 6.5510984, 0.0000000, 140600.0000000
983.0000000, 0.1223845, 0.5519147, 0.6714140, 0.0325534, 0.1136364, 7.8426966, 0.4000000, 127000.0000000
4145.0000000, 0.0060555, 0.4735853, 0.6354644, 0.0291918, 0.1387560, 6.5652374, 0.2068966, 46900.0000000
67.0000000, 0.0053476, 0.4491979, 0.7014925, 0.0000000, 0.1538462, 5.0784314, 0.0000000, 14999.0000000
921.0000000, 0.0037610, 0.4876724, 0.7231270, 0.3485342, 0.2131148, 5.9457237, 0.3846154, 35300.0000000
342.0000000, 0.0054496, 0.5422343, 0.6812865, 0.0058480, 0.0840000, 5.8589744, 0.2857143, 65800.0000000
65.0000000, 0.0000000, 0.4063604, 0.9076923, 0.0000000, 0.0000000, 5.0000000, 0.0000000, 14999.0000000
253.0000000, 0.0008961, 0.3664875, 0.8656126, 0.0039526, 0.0000000, 4.0476190, 0.0000000, 14999.0000000
505.0000000, 0.0000000, 0.3993743, 0.8019802, 0.0000000, 0.0380952, 4.6923077, 0.2500000, 18000.0000000
147.0000000, 0.0000000, 0.4825871, 0.7687075, 0.0136054, 0.0714286, 6.1008403, 1.0000000, 44200.0000000
1348.0000000, 0.0006345, 0.4806472, 0.6609792, 0.0215134, 0.2285714, 6.0445168, 0.6250000, 30000.0000000
13242.0000000, 0.0453287, 0.5256564, 0.6607008, 0.0939435, 0.1980057, 5.6792544, 0.2517986, 175500.0000000
389.0000000, 0.0009443, 0.5033050, 0.7892031, 0.0000000, 0.3461538, 6.2808642, 0.5555556, 33700.0000000
57.0000000, 0.0000000, 0.5354839, 0.7368421, 0.0000000, 0.1428571, 5.6800000, 1.0000000, 14999.0000000
5779.0000000, 0.0499285, 0.5727841, 0.5751860, 0.0707735, 0.2415902, 6.7792262, 0.7594937, 144300.0000000
2503.0000000, 0.0026348, 0.5060601, 0.6184579, 0.0015981, 0.0642202, 5.9846041, 0.4285714, 47700.0000000
320.0000000, 0.0000000, 0.4563233, 0.6937500, 0.0000000, 0.4761905, 6.1467181, 0.8000000, 17000.0000000
124.0000000, 0.0000000, 0.4456140, 0.6612903, 0.0000000, 0.3076923, 5.3707865, 0.7500000, 14999.0000000
947.0000000, 0.0158785, 0.4798067, 0.7550158, 0.0232313, 0.0404624, 5.2301325, 0.2857143, 46700.0000000
816.0000000, 0.0027716, 0.4706208, 0.5968137, 0.0134804, 0.1538462, 6.4647887, 0.5000000, 34900.0000000
44.0000000, 0.0000000, 0.5740741, 0.7045455, 0.0000000, 0.0425532, 5.0512821, 0.5000000, 28800.0000000
142.0000000, 0.0000000, 0.5314465, 0.6197183, 0.0140845, 0.2857143, 6.1958763, 0.5000000, 37900.0000000
542.0000000, 0.0000000, 0.4752542, 0.7693727, 0.0000000, 0.2876712, 5.3967517, 0.4761905, 23400.0000000
674.0000000, 0.0037152, 0.4897833, 0.6513353, 0.3590504, 0.1604938, 5.8218527, 0.3846154, 25300.0000000
1224.0000000, 0.0003390, 0.4840678, 0.6756536, 0.0008170, 0.1354167, 6.1400689, 0.6923077, 31300.0000000
956.0000000, 0.0008365, 0.4772062, 0.6757322, 0.0000000, 0.0597015, 6.7149533, 0.5000000, 29600.0000000
1099.0000000, 0.0017895, 0.4183966, 0.6706096, 0.0100091, 0.1194969, 5.6487119, 0.7894737, 17800.0000000
843.0000000, 0.0046154, 0.4702564, 0.6298932, 0.0118624, 0.0888889, 7.0276680, 0.7500000, 47500.0000000
11164.0000000, 0.0289528, 0.5049677, 0.5391437, 0.0120029, 0.1732419, 6.3079901, 0.6237624, 108400.0000000
247.0000000, 0.0016529, 0.4809917, 0.6963563, 0.0000000, 0.0714286, 5.8056872, 1.0000000, 14999.0000000
64.0000000, 0.0000000, 0.5000000, 0.7343750, 0.1562500, 0.2000000, 6.2931034, 0.6666667, 28800.0000000
2963.0000000, 0.0429841, 0.4124278, 0.9719879, 0.3604455, 0.0340909, 4.5454545, 0.0000000, 44400.0000000
122.0000000, 0.0000000, 0.5555556, 0.7459016, 0.0000000, 0.0377358, 6.3944954, 0.3181818, 86100.0000000
5335.0000000, 0.0053847, 0.5144674, 0.7111528, 0.0596064, 0.1316372, 5.7340337, 0.7815126, 24200.0000000
5019.0000000, 0.0100470, 0.5730019, 0.8613270, 0.0193266, 0.6599424, 6.7745211, 0.3449782, 84100.0000000
4708.0000000, 0.0174025, 0.5688882, 0.8092608, 0.0167799, 0.3005464, 6.6361955, 0.2000000, 69900.0000000
172.0000000, 0.0000000, 0.4837963, 0.7034884, 0.0000000, 0.0000000, 6.0797101, 0.0000000, 24300.0000000
3916.0000000, 0.0037393, 0.5417888, 0.7249745, 0.0010215, 0.2000000, 6.7906683, 0.2083333, 82100.0000000
4616.0000000, 0.0606675, 0.4299918, 0.7952773, 0.0030329, 0.2312925, 5.5228216, 0.4705882, 61300.0000000
460.0000000, 0.0007843, 0.5121569, 0.7630435, 0.0000000, 0.2857143, 6.5630252, 0.2500000, 81700.0000000
670.0000000, 0.0306849, 0.5441096, 0.6880597, 0.0074627, 0.1730769, 6.2613333, 0.2222222, 169500.0000000
339.0000000, 0.0000000, 0.5049505, 0.6961652, 0.0058997, 0.1666667, 6.3852140, 0.6666667, 20500.0000000
37.0000000, 0.0000000, 0.4660194, 0.6756757, 0.0000000, 0.1666667, 6.1785714, 1.0000000, 17500.0000000
202.0000000, 0.0000000, 0.4111349, 0.6435644, 0.0000000, 0.3333333, 6.7549669, 0.5714286, 15400.0000000
287.0000000, 0.0013280, 0.4767596, 0.7282230, 0.0000000, 0.3684211, 5.7678571, 0.4285714, 21100.0000000
1076.0000000, 0.0059920, 0.5559254, 0.7202602, 0.0037175, 0.4418605, 6.0694215, 0.0526316, 86200.0000000
87.0000000, 0.0000000, 0.4579832, 0.7241379, 0.4367816, 0.0000000, 5.2222222, 0.0000000, 14999.0000000
515.0000000, 0.0014970, 0.4266467, 0.6427184, 0.1825243, 0.1100000, 5.4433962, 0.5454545, 23600.0000000
1051.0000000, 0.0035931, 0.3681592, 0.6793530, 0.0057088, 0.2250000, 6.4295775, 0.2222222, 96800.0000000
214.0000000, 0.0000000, 0.4463087, 0.7803738, 0.0046729, 0.1578947, 6.0662252, 0.3333333, 23300.0000000
48.0000000, 0.0000000, 0.4634146, 0.7083333, 0.0416667, 0.1428571, 6.2285714, 1.0000000, 30800.0000000
300.0000000, 0.0040761, 0.4565217, 0.6800000, 0.0033333, 0.2222222, 5.3076923, 0.5000000, 16900.0000000
740.0000000, 0.0146687, 0.5695498, 0.7594595, 0.0054054, 0.2277228, 6.1204819, 0.3478261, 79000.0000000
470.0000000, 0.0045045, 0.4292149, 0.8127660, 0.0000000, 0.0370370, 6.6102151, 0.3750000, 57200.0000000
879.0000000, 0.0019194, 0.5520154, 0.8100114, 0.0000000, 0.1500000, 6.1214953, 0.5000000, 43400.0000000
286.0000000, 0.0000000, 0.5257732, 0.5909091, 0.0000000, 0.1250000, 6.2681564, 1.0000000, 38100.0000000
654.0000000, 0.0067385, 0.4063342, 0.6330275, 0.0000000, 0.1694915, 6.3181818, 0.7000000, 16600.0000000
954.0000000, 0.0015432, 0.4347994, 0.6928721, 0.2148847, 0.2363636, 5.7877358, 0.8076923, 30300.0000000
1094.0000000, 0.0114943, 0.4490174, 0.6444241, 0.0018282, 0.2000000, 6.4457364, 0.3846154, 19300.0000000
2211.0000000, 0.0149382, 0.4235920, 0.5730439, 0.0049751, 0.1350211, 6.3953871, 0.3437500, 41200.0000000
18112.0000000, 0.0405727, 0.5186673, 0.7112412, 0.0098830, 0.1881720, 5.8293709, 0.2571429, 163900.0000000
366.0000000, 0.0000000, 0.4818182, 0.7240437, 0.0054645, 0.1176471, 6.3598616, 0.5000000, 29200.0000000
118.0000000, 0.0034130, 0.4812287, 0.6779661, 0.0084746, 0.1785714, 6.0537634, 0.8000000, 21300.0000000
45.0000000, 0.0000000, 0.4687500, 0.5777778, 0.0000000, 0.0000000, 5.3170732, 0.0000000, 14999.0000000
1775.0000000, 0.0026756, 0.4926421, 0.4585915, 0.0022535, 0.0394904, 4.7980685, 0.4354839, 134800.0000000
107.0000000, 0.0000000, 0.3860640, 0.8598131, 0.0000000, 0.0322581, 3.5882353, 1.0000000, 14999.0000000
3298.0000000, 0.0015017, 0.4030983, 0.8741662, 0.0027289, 0.0651945, 4.7741256, 0.4677419, 18800.0000000
392.0000000, 0.0059880, 0.4620758, 0.7525510, 0.0000000, 0.1250000, 5.4819672, 0.8571429, 21700.0000000
1125.0000000, 0.0045328, 0.4365411, 0.6755556, 0.0000000, 0.2380952, 6.3056266, 0.6000000, 23300.0000000
44.0000000, 0.0520833, 0.3333333, 0.5681818, 0.0000000, 0.5714286, 6.0833333, 0.7500000, 14999.0000000
20.0000000, 0.0000000, 0.3600000, 0.7500000, 0.0000000, 0.2857143, 6.1176471, 1.0000000, 14999.0000000
692.0000000, 0.0038023, 0.4915807, 0.7066474, 0.0028902, 0.1632653, 6.9147122, 0.6250000, 29600.0000000
33.0000000, 0.0000000, 0.4205607, 0.7878788, 0.0000000, 0.1428571, 5.2222222, 0.0000000, 17500.0000000
102.0000000, 0.0000000, 0.4482759, 0.7254902, 0.4215686, 0.2000000, 5.6341463, 0.6666667, 19400.0000000
231.0000000, 0.0000000, 0.5943060, 0.6753247, 0.0043290, 0.2307692, 6.8662791, 0.0000000, 66800.0000000
287.0000000, 0.0012484, 0.4681648, 0.7630662, 0.0000000, 0.0434783, 6.3742690, 1.0000000, 36000.0000000
1174.0000000, 0.0027248, 0.4403951, 0.7044293, 0.0008518, 0.1263941, 5.7970183, 0.6764706, 22800.0000000
